Post ID,Comment,Post themes,Background sound / audio,Harm score,Explanation
DFLpKTPv1L-,@netflix,"Men, couple, personal experience","Yes, normal voice",0,Simple tag to Netflix — likely a positive signal. Neutral to supportive.
DFLpKTPv1L-,Big boss ott❤️,"Men, couple, personal experience","Yes, normal voice",0,Praise directed at a platform/creator. Positive and kind.
DFLpKTPv1L-,They want bad girls club!I’d watch you guys!!! I don’t like all the fighting and conflicts.,"Men, couple, personal experience","Yes, normal voice",0,Reference to a show used affectionately — supportive tone.
DFLpKTPv1L-,U people are just so sorted😍🙌,"Men, couple, personal experience","Yes, normal voice",0,Compliment about personality/attitude — encouraging and warm.
DFLpKTPv1L-,I would not miss an episode 🍿,"Men, couple, personal experience","Yes, normal voice",0,Excited statement implying loyalty to content. No harmful content.
DFLpKTPv1L-,😍,"Men, couple, personal experience","Yes, normal voice",0,Heart-eyes emoji conveys positive emotional reaction. Aligns with the calm tone of the post.
DFLpKTPv1L-,Please 🙌,"Men, couple, personal experience","Yes, normal voice",0,"'Please 🙌' is a supportive plea, emotionally charged but kind. Matches the voice tone."
DFLpKTPv1L-,Not everything on tv needs to be drama filled!,"Men, couple, personal experience","Yes, normal voice",0,Constructive support of a less dramatic style of content. Matches the calm voice.
DFLpKTPv1L-,@netflixget on this please!!,"Men, couple, personal experience","Yes, normal voice",0,Encouragement to Netflix in an enthusiastic way. Positive tone matches background.
DFLpKTPv1L-,"I believe you, not the animal channel 😂😂😂😂","Men, couple, personal experience","Yes, normal voice",0.25,Slightly sarcastic reference to 'animal channel' could come off dismissive in a calm context.
DFLpKTPv1L-,😂😂,"Men, couple, personal experience","Yes, normal voice",0,Two laugh emojis appear lighthearted and contextually harmless.
DFLpKTPv1L-,😂😂😂,"Men, couple, personal experience","Yes, normal voice",0,"Three laugh emojis — tone is still playful, not mocking in this context."
DFLpKTPv1L-,Will talk to my friends@netflix☺️,"Men, couple, personal experience","Yes, normal voice",0,"Playful message with a soft emoji — clearly in good spirit, harmless."
DFLpKTPv1L-,@netflixwe want thisssss!!!!!!!! ❤️❤️❤️❤️❤️ all day every day,"Men, couple, personal experience","Yes, normal voice",0,Highly enthusiastic and supportive with hearts. Encouraging and affirming.
DFLpKTPv1L-,Maybe the life isn’t dramatic and spicy enough but the makeup looks definitely are,"Men, couple, personal experience","Yes, normal voice",0.25,Sarcastic tone with a sad emoji — mildly invalidating but softened. Borderline dismissive.
DFLpKTPv1L-,It's a feedback work on it,"Men, couple, personal experience","Yes, normal voice",0.25,Bluntly delivered feedback could come across as dismissive or condescending in a personal context.
DFLpKTPv1L-,"I don't watch reality tv, but if you had a show I would def start streaming!  extra spicy and fun! 🔥🔥","Men, couple, personal experience","Yes, normal voice",0,"Supportive statement, flips a negative into a compliment. Very respectful."
DFLpKTPv1L-,Please don’t go on any controversial reality shows & spoil ur relationship guys.. U too are too nice for such stupid shows..,"Men, couple, personal experience","Yes, normal voice",0,Concerned and protective comment. Kind and caring in tone.
DFLpKTPv1L-,lets sign a petition!!!,"Men, couple, personal experience","Yes, normal voice",0,Internet slang for support — enthusiastic and lighthearted.
DFLpKTPv1L-,Can you plz do a makeup 101 lesson.. I need to learn the basics.. it would be very helpful. Thank you.,"Men, couple, personal experience","Yes, normal voice",0,Friendly and positive request for a tutorial. Not critical or rude.
DFLpKTPv1L-,I don’t watch reality shows because the drama is too much. I would watch your show!,"Men, couple, personal experience","Yes, normal voice",0,Affirms creator’s content despite genre aversion. Warm and kind.
DFLpKTPv1L-,❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Emoji-only comment expressing love. Uplifting.
DFLpKTPv1L-,Agree 💯,"Men, couple, personal experience","Yes, normal voice",0,Agreement expressed positively with emoji. Supportive tone.
DFLpKTPv1L-,❤️❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Heart emojis alone convey love and support. Harmless.
DFLpKTPv1L-,I would love to binge watch again n again n again 😍,"Men, couple, personal experience","Yes, normal voice",0,Expresses strong admiration and excitement. Supportive and kind.
DFLpKTPv1L-,I agree .. I think you are quite good at this skill.. your techniques are easy to follow and understand . Product recommendations are really excellent 🔥👏🙌,"Men, couple, personal experience","Yes, normal voice",0,A respectful and affirming comment. Matches the personal tone of the video.
DFLpKTPv1L-,We love you,"Men, couple, personal experience","Yes, normal voice",0,Straightforward expression of support and affection. Kind and uplifting.
DFLpKTPv1L-,I will repeat myself on instagram again you deserve a netflix show period .Your talent is exceptional and we need “TOO NICE PEOPLE LIKE ADI ON NETFLIX”.,"Men, couple, personal experience","Yes, normal voice",0,Reinforces admiration across platforms. Encouraging and enthusiastic.
DFLpKTPv1L-,Show. No show. You two look so good together 🧿❤️,"Men, couple, personal experience","Yes, normal voice",0,A warm comment celebrating the couple. Positive emojis support the tone.
DFLpKTPv1L-,@badgalriri,"Men, couple, personal experience","Yes, normal voice",0,"A celebrity tag, likely playful. No offensive content present."
DFLpKTPv1L-,Tell them to come to one site visit,"Men, couple, personal experience","Yes, normal voice",0,"Playful remark, possibly related to behind-the-scenes. Tone is neutral."
DFLpKTPv1L-,❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Heart emojis convey love and support. Entirely positive.
DFLpKTPv1L-,This would be 🔥🔥🔥,"Men, couple, personal experience","Yes, normal voice",0,‘Fire’ emojis suggest something is exciting or impressive. Very supportive.
DFLpKTPv1L-,He is so cool,"Men, couple, personal experience","Yes, normal voice",0,A compliment given with sincerity. Harmless and kind.
DFLpKTPv1L-,I agree .. You’re the only makeup artist that really list what you use and give details .,"Men, couple, personal experience","Yes, normal voice",0,Praise that singles out the creator in a respectful way. Uplifting tone.
DFLpKTPv1L-,Absolutely!,"Men, couple, personal experience","Yes, normal voice",0,Short and enthusiastic affirmation. Fully supportive.
DFLpKTPv1L-,Beautiful men❤️,"Men, couple, personal experience","Yes, normal voice",0,A warm compliment with a heart emoji — affectionate and respectful.
DFLpKTPv1L-,"Yes, Netflix, for sure 👌","Men, couple, personal experience","Yes, normal voice",0,Supportive suggestion with emoji reinforcing approval. Uplifting.
DFLpKTPv1L-,❤️❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Multiple heart emojis — universal expression of positivity.
DFLpKTPv1L-,Netflix please give them a chance! There’s different types of spices!!!,"Men, couple, personal experience","Yes, normal voice",0,A well-phrased plea to Netflix that also promotes diverse talent. Respectful.
DFLpKTPv1L-,So many bad makeup artists out there.. you're the only one dishing out sensible makeup advice that actually works when we do it om ourselves.,"Men, couple, personal experience","Yes, normal voice",0,"Though it implies critique of others, it's a respectful compliment overall."
DFLpKTPv1L-,You both look great together 😍,"Men, couple, personal experience","Yes, normal voice",0,Flattering comment celebrating the couple. Kind and supportive.
DFLpKTPv1L-,Omg! Please do it 🔥😝😎,"Men, couple, personal experience","Yes, normal voice",0,Enthusiastic request using emojis. Fun and kind-spirited.
DFLpKTPv1L-,Well your niceness and transparency and humor would be refreshing. I'm tired at all this fake staged drama,"Men, couple, personal experience","Yes, normal voice",0.25,"While defending the creator, the passive-aggressive emoji suggests sarcasm, slightly dismissive."
DFLpKTPv1L-,@adityamadirajuwould be nice to see you on Glow up ❤️,"Men, couple, personal experience","Yes, normal voice",0,"Respectful, supportive suggestion tagging a creator. Positive tone."
DFLpKTPv1L-,I love your makeup here 😭😭😭😭,"Men, couple, personal experience","Yes, normal voice",0,Strong emotional compliment using emojis — completely positive.
DFLpKTPv1L-,I love you two together ❤️,"Men, couple, personal experience","Yes, normal voice",0,Affectionate praise for the couple. Harmless and kind.
DFLpKTPv1L-,Yes I love this artistic person,"Men, couple, personal experience","Yes, normal voice",0,Simple admiration expressed kindly. Encouraging and harmless.
DFLpKTPv1L-,@netflixpls make it happen! All the spice u need 🔥🔥,"Men, couple, personal experience","Yes, normal voice",0,Supportive comment directed at Netflix — enthusiastic and respectful.
DFLpKTPv1L-,Talk are so cute!! I would watch!,"Men, couple, personal experience","Yes, normal voice",0,"Despite a likely typo, this is a very sweet and encouraging comment."
DFLpKTPv1L-,@ankushbahuguna,"Men, couple, personal experience","Yes, normal voice",0,Just a user tag — context suggests a neutral to supportive mention.
DFLpKTPv1L-,Keep it as you are - authentic ❤️that’s what you guys are - don’t ruin it !!!!!,"Men, couple, personal experience","Yes, normal voice",0,Encourages authenticity and includes heart emoji. Warm and supportive.
DFLpKTPv1L-,Could you please show that makeup look?,"Men, couple, personal experience","Yes, normal voice",0,Polite and interested request for a tutorial. No harm.
DFLpKTPv1L-,"You guys are no drama, show them your roast reel 😂","Men, couple, personal experience","Yes, normal voice",0,Affirms the creators’ style and adds a playful encouragement. Supportive tone.
DFLpKTPv1L-,U are looking hot 🔥❤️,"Men, couple, personal experience","Yes, normal voice",0,Flattering compliment using heart and fire emojis — clearly positive.
DFLpKTPv1L-,😍😍😍😍,"Men, couple, personal experience","Yes, normal voice",0,Pure heart-eyes emoji reaction — affectionate and non-critical.
DFLpKTPv1L-,I need this Netflix series!,"Men, couple, personal experience","Yes, normal voice",0,"A strong, enthusiastic endorsement of the creators. Very positive."
DFLpKTPv1L-,Too……nice??,"Men, couple, personal experience","Yes, normal voice",0.25,"The phrasing and ellipses suggest sarcasm or disbelief, potentially dismissive."
DFLpKTPv1L-,They dont know you 😂😂😂😂😂 plenty of drama,"Men, couple, personal experience","Yes, normal voice",0,Supportive and humorous defense of the creator. Laughing emojis soften it.
DFLpKTPv1L-,Id still watch! Too nice IS REFRESHING 😍,"Men, couple, personal experience","Yes, normal voice",0,Affirming and reframes the perceived weakness as a strength. Encouraging.
DFLpKTPv1L-,What blush are you wearing in this video? 😍 💜,"Men, couple, personal experience","Yes, normal voice",0,A question with admiration — emojis express positivity.
DFLpKTPv1L-,Give it a shot,"Men, couple, personal experience","Yes, normal voice",0,"Short encouragement. Neutral to kind, no negative tone."
DFLpKTPv1L-,😂😂😂,"Men, couple, personal experience","Yes, normal voice",0,Laugh emojis that seem playful rather than mocking here.
DFLpKTPv1L-,U guys are the whole package still yet to unfold and discover,"Men, couple, personal experience","Yes, normal voice",0,Metaphoric compliment — respectful and poetic in tone.
DFLpKTPv1L-,"May I please know, how u know such a beautiful and white teeth ????","Men, couple, personal experience","Yes, normal voice",0,"A polite, interested question. Kind and appreciative."
DFLpKTPv1L-,I’d watch it! But I’d also say it’s a compliment to you that you don’t come across as a typical reality show star!,"Men, couple, personal experience","Yes, normal voice",0,Supportive and reframes criticism as a compliment. Encouraging tone.
DFLpKTPv1L-,How do you do your blush?!!,"Men, couple, personal experience","Yes, normal voice",0,Excited beauty-related question. Engaged and friendly.
DFLpKTPv1L-,@adityamadirajuhey how about giving those Bollywood wives a makeover?@karanjohar,"Men, couple, personal experience","Yes, normal voice",0,Playfully suggesting the creator belongs in Bollywood. Encouraging and humorous.
DFLpKTPv1L-,Both of you very nice 👍 😍,"Men, couple, personal experience","Yes, normal voice",0,"Simple, affectionate compliment with emojis. Harmless and kind."
DFLpKTPv1L-,Please please start Indian make up brands suggestions too😍😍🔥🔥❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Eager request for more content. Enthusiastic and respectful.
DFLpKTPv1L-,Don’t do reality shows. It will ruined your beautiful life. Why would put your self to fake scripts and negative drama. Enjoy your blessed life. 🙌,"Men, couple, personal experience","Yes, normal voice",0,Protective comment showing concern. Caring tone despite grammar issue.
DFLpKTPv1L-,"SAME- we were approached 3 times by Scripps (Food Network) but the deal was terrible for us and for a Reality Travel / Food show on another Network. That one met with us 4 times, negotiating a deal and the last time, asked: SO WHERE'S THE DRAMA? 👀Ehhhh what little drama that may arise would be off-camera. Well, that was the end of that deal. 🤭","Men, couple, personal experience","Yes, normal voice",0,"Sharing personal experience in a relevant, supportive way. No harm."
DFLpKTPv1L-,❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Heart emojis alone convey admiration. Positive intent.
DFLpKTPv1L-,You both make an amazing couple@❤️,"Men, couple, personal experience","Yes, normal voice",0,A compliment directed at the couple — loving tone.
DFLpKTPv1L-,"You should be on Big Boss if you are interested, Aditya.","Men, couple, personal experience","Yes, normal voice",0,Suggests a reality show option in a playful way. Not mocking or rude.
DFLpKTPv1L-,Too nice!!! I have heard that too many times…,"Men, couple, personal experience","Yes, normal voice",0,Shares a relatable experience with empathy. Supportive tone.
DFLpKTPv1L-,I love you guys! 😍,"Men, couple, personal experience","Yes, normal voice",0,Warm declaration of affection with emoji. Entirely positive.
DFLpKTPv1L-,@netflix@primevideo@bravotvthis would be my favorite show!♥️🤞🏾,"Men, couple, personal experience","Yes, normal voice",0,Mass-tagged support for the creator’s show idea — enthusiastic and respectful.
DFLpKTPv1L-,I would watch for sure,"Men, couple, personal experience","Yes, normal voice",0,Short but firm expression of support. Encouraging tone.
DFLpKTPv1L-,Pls create a documentary of you both ...i bet..it will be successful.. honestly your pair is going to win hearts. 🥰❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Suggests a documentary as a form of praise. Uplifting and respectful.
DFLpKTPv1L-,That's honestly a great idea🥹🤎,"Men, couple, personal experience","Yes, normal voice",0,Validates the idea shared in the post with emotional expression. Positive tone.
DFLpKTPv1L-,You both looking fabulous 😍,"Men, couple, personal experience","Yes, normal voice",0,Affectionate compliment with emojis. No harm present.
DFLpKTPv1L-,Petition to have you on the screen!! i learn a lot from you !!,"Men, couple, personal experience","Yes, normal voice",0,Campaign-style encouragement and praise for creator’s content. Very supportive.
DFLpKTPv1L-,"You both are my favorite ❤️ Regarding the reality shows all are scripted we know & yes has  lots of drama too. But, no matter what you do you will always my favorite","Men, couple, personal experience","Yes, normal voice",0,Declares support and admiration. Tone is warm and sincere.
DFLpKTPv1L-,Didnt know it’s same everywhere! In India also if you want to participate in any show you need to come with drama! Someone needs to be a riksha 🛺 puller in your family to qualify 🎭,"Men, couple, personal experience","Yes, normal voice",0,Shares cultural similarity — validating and empathetic perspective.
DFLpKTPv1L-,Getting jealous with the person standing behind you 😂 I really wanted to share the make up products you have been using hahahaha 😂😂😂,"Men, couple, personal experience","Yes, normal voice",0,"Playful expression of jealousy. Light tone, not harmful."
DFLpKTPv1L-,I’m looking at how flawless your face looks@adityamadiraju😍 and your make up 🤩,"Men, couple, personal experience","Yes, normal voice",0,Flattering comment about appearance. Supportive and kind.
DFLpKTPv1L-,Then let's create some drama 😍,"Men, couple, personal experience","Yes, normal voice",0,Playful invitation to engage — aligns with tone of the post. Not offensive.
DFLpKTPv1L-,May be you should try again!! 🔥🔥🔥 Atleast if they put you guys on Netflix i would be satisfied to pay their ever increasing subscription ♥️✨,"Men, couple, personal experience","Yes, normal voice",0,Encouraging message supporting a retry. Uplifting.
DFLpKTPv1L-,Maybe consider YouTube TV as an option…I can see the drama babyyy!,"Men, couple, personal experience","Yes, normal voice",0,Respectful suggestion for another platform. Positive and helpful.
DFLpKTPv1L-,"You’re stunning, you both seem fab… ❤️ xxx","Men, couple, personal experience","Yes, normal voice",0,Warm and loving compliment. No harm.
DFLpKTPv1L-,Animal show 😂😂😂,"Men, couple, personal experience","Yes, normal voice",0.25,"While possibly referencing content, the vague 'animal show' phrase with laughter could be misinterpreted as mocking."
DFLpKTPv1L-,Because of you I started doing makeup.I am a homemaker and didn't like makeup at all. But watching your makeup video is a pleasure to eyes though I forget the most but still I can do basic now and people really started to compliment me that you are looking beautiful. Thanks to you dear.,"Men, couple, personal experience","Yes, normal voice",0,"Positive, life-affirming comment. Very supportive."
DFLpKTPv1L-,😂😂😂👏👏👏,"Men, couple, personal experience","Yes, normal voice",0,Applause and laughter emojis — celebratory and fun.
DFLpKTPv1L-,I love you aura guys!! Wish I had friends like u in my life!! Just talking about mundane things would have made me happy!! And I love your videos!! Keep making more please!!❤️,"Men, couple, personal experience","Yes, normal voice",0,Admiration and wishful friendship — sweet and uplifting.
CtHU3bTO6RO,🔥🔥🔥🔥🔥🔥🔥👏👏😍😍,"Girls, teenager, dance, choreography","Yes, hiphop song",0,Fully positive emoji-based comment expressing excitement and approval. No harmful content.
CtHU3bTO6RO,Lots of energy Love it!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,Direct expression of appreciation for the energy in the video. Encouraging and kind.
CtHU3bTO6RO,She’s so good!!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,A clear compliment on the dancer’s performance. Entirely positive.
CtHU3bTO6RO,🔥yes!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,"'🔥yes!' is a short, enthusiastic show of support. No harm detected."
CtHU3bTO6RO,Reply,"Girls, teenager, dance, choreography","Yes, hiphop song",0,The comment 'Reply' is neutral and context-less. No evidence of negativity.
CtHU3bTO6RO,Honestly she is so good!!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,A reinforcing positive statement. Enthusiastic and kind.
CtHU3bTO6RO,Your a really good dancer!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,"Praise directed at the dancer. Although slightly informal, the tone is positive."
CtHU3bTO6RO,Please audition for@xomgpop!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,Encouraging the creator to audition — an uplifting suggestion.
CtHU3bTO6RO,Hey girl you’ve come a long way. Way to go on your achievements!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,Very affirming statement recognizing growth and improvement. Entirely supportive.
C9wjr7uxeYk,"Girl that transition was so smooth btw I love your videos, yours so gorgeous and omg your so slay!!","Girl, teenager, beauty, hair, makeup","Yes, pop song",0,Positive feedback on a specific part of the video — encouraging and respectful.
DFLpKTPv1L-,Maybe they should pick up on the comments where you never reply because I has asked you about a Tirtir shade match for Maybelline and you never replied- both on FB and Instagram 😒,"Men, couple, personal experience","Yes, normal voice",0,Supportive and thoughtful suggestion defending the creator's kindness.
DFLpKTPv1L-,Start a you tube series. Need all those makeup classes 🧿♥️🙏@adityamadiraju,"Men, couple, personal experience","Yes, normal voice",0,Excited request for content with appreciation — respectful and encouraging.
DFLpKTPv1L-,Wait.. which marble did you guys end up picking? Who won? lol,"Men, couple, personal experience","Yes, normal voice",0,Playful curiosity about a detail in the video. Positive and lighthearted.
DFLpKTPv1L-,👏👏👏,"Men, couple, personal experience","Yes, normal voice",0,Applause-only emoji response — clearly affirming and uplifting.
DFLpKTPv1L-,you and your husband 😍😍🤗🤗,"Men, couple, personal experience","Yes, normal voice",0,Affectionate emojis paired with relationship reference — kind and respectful.
DFLpKTPv1L-,That “they don’t really know” is super personal 😂❤️,"Men, couple, personal experience","Yes, normal voice",0,Deep emotional connection to the post — empathetic and validating.
DFLpKTPv1L-,"Adi, I love you but could you pla use indian brand makeup products as they are affordable and easily available?","Men, couple, personal experience","Yes, normal voice",0,Respectful suggestion framed with love. Constructive and kind.
DFLpKTPv1L-,@netflix@netflix_in@amazonprimePUT THEM IN ASAP,"Men, couple, personal experience","Yes, normal voice",0,Strong show of support through platform tags — enthusiastic and positive.
DFLpKTPv1L-,We could use a reality show featuring great content and NICE people! Why do they always need a bad guy?? Your little family is so beautiful! Maybe hallmark channel needs to make one lol.@adityamadirajuwe’ll follow you no matter what! 😘😘,"Men, couple, personal experience","Yes, normal voice",0,Praises the idea of a reality show positively. Encouraging tone.
DFLpKTPv1L-,I would definitely follow you on that too!! I love your content and how you educate us!❤️,"Men, couple, personal experience","Yes, normal voice",0,Warm affirmation of support and love for the creator’s energy. No harm.
DFLpKTPv1L-,You are the best!!,"Men, couple, personal experience","Yes, normal voice",0,Straightforward compliment — uplifting and positive.
DFLpKTPv1L-,You guys are a beautiful couple ❤️,"Men, couple, personal experience","Yes, normal voice",0,Loving praise directed at the couple. Warm and kind.
DFLpKTPv1L-,Yes.,"Men, couple, personal experience","Yes, normal voice",0,Short affirmation — neutral to supportive. No harm.
DFLpKTPv1L-,❤️,"Men, couple, personal experience","Yes, normal voice",0,Heart emoji shows affection. Harmless.
DFLpKTPv1L-,I support this 🙌@netflix,"Men, couple, personal experience","Yes, normal voice",0,Supportive statement tagging Netflix. Encouraging tone.
DFLpKTPv1L-,"Do more daily short vlogs, not just make up tutorials ❤️","Men, couple, personal experience","Yes, normal voice",0,Constructive suggestion for content expansion. Respectful.
DFLpKTPv1L-,Yall are so beautifulI love yall xoxo,"Men, couple, personal experience","Yes, normal voice",0,Highly affectionate and enthusiastic comment. Positive tone.
DFLpKTPv1L-,Agreed!!!!!!👏👏👏,"Men, couple, personal experience","Yes, normal voice",0,Strong agreement with applause — very affirming.
DFLpKTPv1L-,Who need Netflix .. you guys are the best the way you are ❤️,"Men, couple, personal experience","Yes, normal voice",0,Praises the couple and content. Casual but kind.
DFLpKTPv1L-,U were handsome without putting makeup on ur own face,"Men, couple, personal experience","Yes, normal voice",0.25,"Though meant as a compliment, it may subtly undermine self-expression via makeup. Slightly dismissive."
DFLpKTPv1L-,I would watch it. I love your videos.,"Men, couple, personal experience","Yes, normal voice",0,Supportive comment expressing admiration. Clearly positive.
DFLpKTPv1L-,"I just need your voice to customize my assistant to sound like this. Then my husband can send me a list, your voice can read it to me and I will have actually listened to it!😂 I could listen to your accent and talk all day long. Along with the makeup torts! 🙌","Men, couple, personal experience","Yes, normal voice",0,Flattering and humorous. The tone is light and supportive.
DFLpKTPv1L-,Both of u❤️,"Men, couple, personal experience","Yes, normal voice",0,Short and affectionate message. Positive tone.
DFLpKTPv1L-,"Drama or no drama, a reality tv show will change you as a person, not neccesarily for the better. At the end of the day, it’s all about the numbers, dollars$$, it will be hard to keep it real & true to yourself. Boils down to whether it is your thing or not. Just my thoughts.","Men, couple, personal experience","Yes, normal voice",0,Optimistic and supportive — uplifting tone.
DFLpKTPv1L-,They were right,"Men, couple, personal experience","Yes, normal voice",0.25,Could be interpreted as agreement with prior critique. Slightly dismissive.
DFLpKTPv1L-,"I agree,you need your own show .And your own make up range 🙌","Men, couple, personal experience","Yes, normal voice",0,Strong support for a show and makeup brand. Very positive.
DFLpKTPv1L-,Chip and Joanna Gaines don’t have drama. Maybe Discovery. “Fixer Upper” but for faces. 😂❤️,"Men, couple, personal experience","Yes, normal voice",0,Constructive example that supports the creators' case. Respectful.
DFLpKTPv1L-,I really dnt like the makeup,"Men, couple, personal experience","Yes, normal voice",0.5,Blunt negative opinion without constructive phrasing. Somewhat dismissive.
DFLpKTPv1L-,👏👏👏🔥,"Men, couple, personal experience","Yes, normal voice",0,Emojis of celebration and fire — enthusiastic and positive.
DFLpKTPv1L-,❤️❤️❤️❤️,"Men, couple, personal experience","Yes, normal voice",0,Series of heart emojis. Clearly affectionate and kind.
DFLpKTPv1L-,“It is very spicy” lmao 😂 too nice?! Wouldn’t that make us want to watch you more?! 🥺,"Men, couple, personal experience","Yes, normal voice",0,"Affirming and humorous comment. Laugh emojis are celebratory, not mocking."
DFLpKTPv1L-,Forget that… create your own show on YouTube..simple,"Men, couple, personal experience","Yes, normal voice",0,Encourages creator independence. Very supportive and enthusiastic.
DFLpKTPv1L-,We need a show!!!!,"Men, couple, personal experience","Yes, normal voice",0,Expresses excitement and demand for a show. Entirely positive.
DFLpKTPv1L-,Magnolia network. Quality programming without the ridiculous drama.,"Men, couple, personal experience","Yes, normal voice",0,Constructive suggestion highlighting suitability for a respectful platform. Supportive tone.
DFLpKTPv1L-,🙌,"Men, couple, personal experience","Yes, normal voice",0,Single applause emoji — non-verbal praise. No harm.
DFLpKTPv1L-,😍😍🔥,"Men, couple, personal experience","Yes, normal voice",0,Loving emojis — express admiration and support. Harmless.
DFLpKTPv1L-,Absolutely.. U rock the make. Up world.. I personally don't apply or use but whatever u do is mesmerising and absolute master piece to perfection.. Stunning transformations.. Keep rocking 👏👏👏,"Men, couple, personal experience","Yes, normal voice",0,Highly supportive with heart emoji. Warm and sincere.
DFLpKTPv1L-,You are beautiful people!!❤️,"Men, couple, personal experience","Yes, normal voice",0,Loving compliment with heart emoji. Very affirming tone.
DFLpKTPv1L-,What they mean is that they need mean people cos that’s what attracts viewers 😂,"Men, couple, personal experience","Yes, normal voice",0,"Sarcastic but defending the creator. Tone is critical of others, not harmful to subject."
DFLpKTPv1L-,I love you adi❤️ aap bohut ache mecup karte ho,"Men, couple, personal experience","Yes, normal voice",0,Multilingual praise — respectful and affectionate.
DFLpKTPv1L-,Too nice?? I’d much rather see a happy couple setting a great example to all of us rather than nonstop drama 😂,"Men, couple, personal experience","Yes, normal voice",0,Defends the creator and reinforces preference for kindness. Positive and supportive.
DFLpKTPv1L-,Bah humbug,"Men, couple, personal experience","Yes, normal voice",0.25,Tone may come off as dismissive or sarcastic. Borderline unkind.
DFLpKTPv1L-,Still nice ❤️,"Men, couple, personal experience","Yes, normal voice",0,Affirming message with heart emoji. Clearly supportive.
DFLpKTPv1L-,"I stopped watching a few influencers because of the drama, extra attitude and over exaggerations. A lot of times I just want to see a review, opinion, tutorial on things with a calm voice and a smile. 😊. I hope they really consider because I really enjoy your content","Men, couple, personal experience","Yes, normal voice",0,Constructive reflection on drama in influencer culture. Respectful and neutral.
DFLpKTPv1L-,Would love to see you guys on a reality show 💕,"Men, couple, personal experience","Yes, normal voice",0,Supportive and affectionate expression of interest in a show. Kind tone.
